(2.28582e-05,-1.36458e-05)
(7.89327e-05,-0.000218644)
(2.97813e-05,0.00038829)
(3.16628e-05,0.000416786)
(6.59173e-05,-0.000566349)
(-3.63149e-05,-0.00095931)
(-0.000171785,-8.78183e-05)
(-0.000108934,0.000594787)
(3.30609e-05,0.000270402)
(4.71238e-05,-0.000134283)
(2.13871e-05,6.37706e-05)
(4.89963e-05,0.000349621)
(6.16512e-05,0.000287202)
(7.18019e-05,0.00023319)
(7.15554e-05,0.000108478)
(-3.39186e-05,-0.000525357)
(-6.54157e-05,-0.00058433)
(0.000207105,0.000993434)
(0.000468999,0.00232273)
(0.00031855,0.00135862)
(1.64742e-05,-0.000366846)
(-5.31844e-05,-0.000697383)
(-2.44728e-05,-0.000196114)
(-0.000103386,-0.000160435)
(-0.000184837,-0.000563671)
(-0.000176398,-0.00086683)
(-0.000156843,-0.000812594)
(-0.00020378,-0.000549319)
(-0.000248543,-0.000390993)
(-0.000131213,-0.000216755)
(6.15467e-05,5.61727e-05)
(4.11757e-05,-1.98756e-05)
(-0.000156385,-0.00041824)
(-0.000167142,-0.000353412)
(4.11232e-05,0.000166195)
(0.000204265,0.00039909)
(0.000275043,0.000360904)
(0.000384732,0.000544711)
(0.000511112,0.000777588)
(0.000498827,0.00064715)
(0.00024965,0.000242238)
(-3.82844e-05,-1.41195e-05)
(-1.79896e-05,0.000104728)
(0.000292266,0.000403887)
(0.000445241,0.000474026)
(0.000192675,0.000160328)
(-0.000163299,-0.000230055)
(-0.000142023,-0.000219331)
(0.000151338,7.83085e-05)
(0.000120837,2.25322e-05)
(-0.0001712,-0.000269126)
(-9.20315e-05,-8.83524e-05)
(0.000151109,0.000270091)
(-7.9269e-05,3.50139e-05)
(-0.000335154,-0.000331195)
(-0.00013947,-0.000204072)
(-4.33157e-05,-5.6168e-05)
(-0.000136957,-0.00012616)
(0.000157038,3.42703e-05)
(0.000474561,0.000265243)
(0.000318221,0.000186999)
(0.000192451,7.14807e-05)
(0.000197549,5.34746e-05)
(-0.000110705,-0.000113132)
(-0.000302236,-0.000245252)
(-0.000118713,-0.000148016)
(-0.000172301,-6.2084e-05)
(-0.000292527,-3.94119e-05)
(-4.87559e-05,9.44066e-06)
(-0.000121951,-0.000113208)
(-0.00047396,-0.000290199)
(-0.000247686,-0.000187616)
(1.27932e-05,-5.69698e-05)
(-0.000215318,-0.000134906)
(-7.0085e-05,-9.62267e-05)
(0.000362931,7.89516e-05)
(8.41275e-05,3.93576e-06)
(-0.000593838,-0.000237509)
(-0.00101446,-0.000328701)
(-0.000975966,-0.000257611)
(-0.000309602,-0.000119694)
(0.000132033,-5.28645e-05)
(-0.00048917,-0.000147683)
(-0.000708689,-0.000176193)
(0.000550255,4.63844e-06)
(0.00134561,0.000114747)
(0.000428343,3.39582e-05)
(-0.000469227,3.39921e-06)
(-0.000324095,5.46083e-05)
(-0.000403437,1.54317e-05)
(-0.00102702,-6.88824e-05)
(-0.000921108,-7.83881e-05)
(-0.000299688,-5.02011e-05)
(-0.000515918,-2.26895e-05)
(-0.000853799,-1.2665e-05)
(0.000125823,-5.77535e-05)
(0.00129458,-0.000125259)
(0.00088444,-0.000136716)
(-0.000355141,-4.07612e-05)
(-0.00095731,0.000192852)
(-0.000874157,0.000384608)
(-0.000479555,0.000256237)
(-0.000136642,-3.70159e-06)
(-0.000208227,-2.64478e-05)
(-0.000222691,2.12096e-05)
(0.00028669,-0.000116919)
(0.000672676,-0.000234443)
(0.000417688,-0.000176395)
(-6.39727e-05,-6.05775e-05)
(-0.000138871,-2.06233e-05)
(0.000609429,-0.000232554)
(0.00148155,-0.000534202)
(0.00107797,-0.000396624)
(2.51932e-05,-3.31746e-05)
(2.37438e-05,-0.000111692)
(0.000448729,-0.000303217)
(-3.46577e-06,3.12682e-06)
(-0.000594343,0.000388768)
(-0.000604109,0.000388116)
(-0.000353442,0.000137185)
(0.000134504,-0.000205177)
(0.000554133,-0.0003642)
(0.000330294,-0.00014393)
(6.22238e-05,-4.37205e-05)
(0.000466874,-0.000439622)
(0.000913088,-0.000820177)
(0.000785801,-0.000704017)
(0.00038903,-0.000269793)
(0.000174161,-4.67596e-05)
(0.000267109,-0.000267742)
(0.000223605,-0.000307899)
(-0.000312714,0.000265278)
(-0.00059521,0.000540028)
(-4.72873e-05,-6.64938e-05)
(0.000438567,-0.000532467)
(0.000265803,-0.000314742)
(0.00013672,-0.000229984)
(0.000243191,-0.000383092)
(5.33144e-05,-0.000117756)
(-0.000153897,0.000181246)
(0.000110228,-7.74701e-05)
(0.000304006,-0.000204186)
(1.31178e-05,0.000270258)
(-0.000187547,0.000462727)
(-0.00012497,9.92605e-05)
(-0.000202901,8.73053e-05)
(-0.000218045,0.000504224)
(0.000109882,0.000425368)
(0.000331598,-0.000203229)
(0.00019441,-0.000470799)
(6.98988e-05,-0.000174911)
(9.18513e-05,-6.81757e-07)
(3.06173e-05,-7.02599e-05)
(-0.000151451,0.00016159)
(-0.000189862,0.000351014)
(5.66943e-05,-0.000259598)
(0.000283784,-0.000975233)
(0.000167767,-0.000660132)
(-7.81897e-05,0.000157715)
(-0.000144116,0.000426501)
(-0.000122724,0.000342985)
(-0.00012627,0.000441318)
(-8.30641e-05,0.000438027)
(-2.32278e-07,4.79974e-05)
